status	package	type	kind	responsibility	required_methods
LOCKED	com.nsocry.assets	*	package	Client static read-model, codec, manifest và validation	Xem source/Javadoc hiện hành
LOCKED	com.nsocry.assets.conversion	*	package	Chuyển dữ liệu tham chiếu sang read-model NSOCry	Xem source/Javadoc hiện hành
LOCKED	com.nsocry.authentication	*	package	Account authentication, password và role	Xem source/Javadoc hiện hành
LOCKED	com.nsocry.bootstrap	*	package	Composition root và executable operation command	Xem source/Javadoc hiện hành
LOCKED	com.nsocry.character	*	package	DTO/codec character selection trước gameplay aggregate	Xem source/Javadoc hiện hành
LOCKED	com.nsocry.configuration	*	package	Nạp và validate cấu hình không lộ secret	Xem source/Javadoc hiện hành
LOCKED	com.nsocry.network	*	package	TCP connection lifecycle, không chứa gameplay	Xem source/Javadoc hiện hành
LOCKED	com.nsocry.observability	*	package	Log/event đã sanitize	Xem source/Javadoc hiện hành
LOCKED	com.nsocry.operations	*	package	File/archive adapter cho tác vụ vận hành	Xem source/Javadoc hiện hành
LOCKED	com.nsocry.persistence	*	package	JDBC adapter, schema contract và transaction importer	Xem source/Javadoc hiện hành
LOCKED	com.nsocry.protocol.compat	*	package	Wire compatibility client V7 đã có fixture	Xem source/Javadoc hiện hành
LOCKED	com.nsocry.session	*	package	Handshake/login session state machine	Xem source/Javadoc hiện hành
RESERVED	com.nsocry.common	ClockPort	interface	Nguồn thời gian có thể kiểm thử	now();today()
RESERVED	com.nsocry.common	IdGenerator	interface	Sinh định danh không phụ thuộc adapter	nextId()
RESERVED	com.nsocry.application.port	TransactionPort	interface	Bao use-case trong transaction	execute(work)
RESERVED	com.nsocry.application	GameCommandBus	interface	Điều phối command đã xác thực	dispatch(context,command)
RESERVED	com.nsocry.protocol.command	CommandCatalog	class	Ánh xạ opcode client V7 duy nhất	resolve(direction,opcode);requireKnown(direction,opcode)
RESERVED	com.nsocry.protocol.command	GameCommand	sealed-interface	Command typed sau decode	opcode()
RESERVED	com.nsocry.protocol.message	GameMessageCodec	interface	Decode/encode message typed	decode(frame,phase);encode(message)
RESERVED	com.nsocry.administration	AdminCommandService	class	Use-case quản trị có audit	execute(actor,command)
RESERVED	com.nsocry.administration	AdminAuditPort	interface	Lưu dấu vết thao tác quản trị	append(entry)
RESERVED	com.nsocry.scheduler	GameScheduler	interface	Lập lịch task lifecycle	schedule(task);cancel(taskId);shutdown()
RESERVED	com.nsocry.game.player	PlayerId	record	Định danh player ổn định	value()
RESERVED	com.nsocry.game.player	Player	class	Aggregate người chơi và component trạng thái	id();identity();progression();location();inventory();skills()
